host_is_superhost,neighborhood,borough,room_type,accommodates,price,review_scores_location,review_scores_rating
f,Bensonhurst,Brooklyn,Private room,2,60,0.00,0.00
f,Sunset Park,Brooklyn,Private room,2,69,4.37,4.77
f,Williamsbridge,Bronx,Entire home/apt,2,110,4.86,4.89
f,Borough Park,Brooklyn,Entire home/apt,4,120,4.96,4.96
f,Kensington,Brooklyn,Private room,2,33,3.00,3.00
f,Sunset Park,Brooklyn,Entire home/apt,2,129,4.78,4.78
f,Flatlands,Brooklyn,Private room,2,79,4.84,4.59
f,Astoria,Queens,Private room,2,125,4.78,4.59
f,Kensington,Brooklyn,Private room,1,75,5.00,5.00
f,Borough Park,Brooklyn,Private room,2,65,4.68,4.78
f,Jackson Heights,Queens,Private room,6,74,0.00,0.00
f,Kensington,Brooklyn,Private room,2,33,0.00,0.00
f,Kensington,Brooklyn,Private room,2,33,0.00,0.00
f,Astoria,Queens,Private room,1,61,4.75,4.00
f,Kensington,Brooklyn,Private room,2,33,5.00,5.00
f,Astoria,Queens,Private room,2,52,4.77,4.51
f,Sunset Park,Brooklyn,Entire home/apt,4,86,4.67,4.50
f,Inwood,Manhattan,Private room,2,70,0.00,0.00
f,Windsor Terrace,Brooklyn,Private room,2,95,4.77,4.74
f,Astoria,Queens,Private room,2,54,4.80,4.14
f,Inwood,Manhattan,Private room,2,39,4.00,3.67
f,Inwood,Manhattan,Private room,2,35,0.00,0.00
f,Astoria,Queens,Private room,2,53,5.00,4.74
t,Astoria,Queens,Private room,1,53,5.00,5.00
t,Astoria,Queens,Private room,2,60,4.83,5.00
f,Flatlands,Brooklyn,Private room,1,50,4.39,4.61
f,Sunset Park,Brooklyn,Private room,1,80,5.00,5.00
f,Morris Heights,Bronx,Private room,2,86,4.00,4.40
f,Kingsbridge,Bronx,Private room,1,55,5.00,5.00
f,Flushing,Queens,Private room,2,38,0.00,0.00
f,East Flatbush,Brooklyn,Private room,1,70,0.00,0.00
t,Forest Hills,Queens,Private room,2,69,4.64,4.86
f,Sunset Park,Brooklyn,Entire home/apt,6,294,4.56,4.67
f,Flatbush,Brooklyn,Private room,1,65,4.68,4.85
t,Corona,Queens,Private room,2,56,4.55,4.86
f,Concourse Village,Bronx,Private room,1,42,0.00,0.00
t,Borough Park,Brooklyn,Private room,1,40,4.70,4.92
f,Corona,Queens,Private room,2,63,4.82,4.94
f,Inwood,Manhattan,Private room,2,37,0.00,0.00
f,Sunset Park,Brooklyn,Private room,2,40,2.50,3.00
f,Inwood,Manhattan,Private room,1,43,0.00,0.00
f,Inwood,Manhattan,Private room,1,38,4.00,5.00
f,Kensington,Brooklyn,Private room,2,33,3.00,1.00
f,Sunset Park,Brooklyn,Private room,2,60,0.00,0.00
f,Sunset Park,Brooklyn,Entire home/apt,2,108,0.00,0.00
f,Flushing,Queens,Private room,2,41,0.00,0.00
f,Jackson Heights,Queens,Entire home/apt,2,100,4.57,4.42
t,East Flatbush,Brooklyn,Private room,2,50,3.90,4.80
f,Flatlands,Brooklyn,Private room,2,60,4.05,4.32
f,Jackson Heights,Queens,Private room,2,46,4.68,4.52
f,Dyker Heights,Brooklyn,Private room,1,92,4.85,4.70
f,Windsor Terrace,Brooklyn,Private room,2,45,0.00,0.00
t,Morrisania,Bronx,Private room,2,85,4.80,4.93
f,Flatbush,Brooklyn,Private room,2,65,4.73,4.82
t,Flatbush,Brooklyn,Private room,1,42,0.00,0.00
f,Flushing,Queens,Entire home/apt,4,89,0.00,0.00
t,Flatlands,Brooklyn,Private room,1,40,4.77,4.54
f,Kensington,Brooklyn,Private room,1,150,0.00,0.00
f,Astoria,Queens,Private room,2,52,4.82,4.55
f,Cypress Hills,Brooklyn,Private room,2,40,0.00,0.00
f,Ditmars Steinway,Queens,Entire home/apt,6,227,4.94,4.82
f,Canarsie,Brooklyn,Private room,4,80,4.52,4.64
