id,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,price,number_of_reviews,review_scores_location
26121109,Bushwick,Brooklyn,40.69881,-73.92187,4,2,110,7,4.86
26125053,Greenpoint,Brooklyn,40.72776,-73.9501,3,4,50,1,5
26125349,Greenpoint,Brooklyn,40.72986,-73.95562,4,3,150,0,0
26126894,Morningside Heights,Manhattan,40.80702,-73.96511,4,5,300,4,5
26127726,Upper East Side,Manhattan,40.77198,-73.95531,4,4,206,8,5
26129308,Bedford-Stuyvesant,Brooklyn,40.67981,-73.94623,3,2,43,15,4.62
26131183,Kew Gardens,Queens,40.70977,-73.8285,3,2,52,11,4.88
26131606,Murray Hill,Manhattan,40.75072,-73.9767,4,4,175,3,4.67
26131794,Murray Hill,Manhattan,40.75107,-73.9781,4,2,159,11,5
26131989,West Village,Manhattan,40.74221,-74.02967,4,4,189,126,4.9
26134638,Williamsburg,Brooklyn,40.70987,-73.95409,4,2,168,5,5
26135659,Bushwick,Brooklyn,40.68773,-73.91614,4,8,175,67,4.57
26135711,Jamaica,Queens,40.70815,-73.79803,4,2,99,0,0
26136583,Jackson Heights,Queens,40.74878,-73.89577,4,4,156,2,5
26137379,Concourse Village,Bronx,40.83053,-73.92059,3,2,95,42,4.81
26138483,Hell's Kitchen,Manhattan,40.76534,-73.99385,3,2,95,2,5
26138702,Sunnyside,Queens,40.74499,-73.91666,3,2,73,1,0
26139590,Forest Hills,Queens,40.71344,-73.85122,3,5,59,4,4.25
26140709,Bushwick,Brooklyn,40.68585,-73.91564,3,2,36,3,4.33
26149494,Edgemere,Queens,40.59618,-73.76897,4,2,250,34,4.88
26151366,Brooklyn Heights,Brooklyn,40.69888,-73.99384,3,1,80,1,5
26153609,Jackson Heights,Queens,40.75232,-73.88695,3,2,49,11,4.8
26157426,Midtown,Manhattan,40.76043,-73.97403,4,2,849,14,5
26159891,Brooklyn Heights,Brooklyn,40.69122,-73.99423,4,4,310,5,5
26160959,Astoria,Queens,40.76661,-73.91456,1,2,45,8,4.8
26164606,Harlem,Manhattan,40.81874,-73.95651,4,3,170,28,4.39
26165109,Far Rockaway,Queens,40.59266,-73.75706,4,5,175,2,5
26166987,SoHo,Manhattan,40.72409,-74.00706,4,4,345,5,4.8
26167034,Crown Heights,Brooklyn,40.67367,-73.95474,3,4,120,5,4.8
26167182,East Village,Manhattan,40.72802,-73.98873,4,4,359,148,4.91
26182768,Chinatown,Manhattan,40.71836,-73.99654,4,3,109,17,4.88
26183173,Midtown,Manhattan,40.76086,-73.96598,4,3,100,1,5
26186295,Rosedale,Queens,40.65252,-73.74051,3,2,70,1,1
26190193,Williamsburg,Brooklyn,40.71556,-73.95432,4,3,165,26,5
26190559,Kew Gardens Hills,Queens,40.72206,-73.82188,4,5,160,0,0
26190785,Belmont,Bronx,40.85774,-73.88451,3,2,20,9,4.67
26196660,Brighton Beach,Brooklyn,40.57681,-73.95989,3,2,65,36,4.94
26198112,Upper West Side,Manhattan,40.7973,-73.97386,4,6,400,0,0
26200203,Woodside,Queens,40.74423,-73.90886,4,3,109,24,4.88
26200249,Richmond Hill,Queens,40.6962,-73.82682,4,6,350,2,5
26201913,Crown Heights,Brooklyn,40.66852,-73.92438,4,4,175,20,4.45
26220343,Upper East Side,Manhattan,40.7633,-73.95971,4,2,170,31,4.84
26221423,Long Island City,Queens,40.74355,-73.95154,4,6,239,83,4.98
