id,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,price,number_of_reviews,review_scores_location
5025771,Prospect Heights,Brooklyn,40.6776,-73.96534,Entire home/apt,6,288,2,5.00
5028135,Williamsburg,Brooklyn,40.71958,-73.95504,Entire home/apt,3,120,72,4.89
5028264,Upper West Side,Manhattan,40.79067,-73.97923,Entire home/apt,2,125,49,4.92
5029202,East Harlem,Manhattan,40.79706,-73.94769,Entire home/apt,4,220,6,4.33
5029573,Prospect Heights,Brooklyn,40.67824,-73.96514,Private room,1,60,0,0.00
5030646,Jackson Heights,Queens,40.75394,-73.87986,Private room,2,100,39,4.87
5037892,Harlem,Manhattan,40.80406,-73.95494,Private room,1,85,1,5.00
5038299,Boerum Hill,Brooklyn,40.68704,-73.98021,Entire home/apt,1,180,1,5.00
5039939,Williamsburg,Brooklyn,40.70687,-73.9331,Private room,2,60,0,0.00
5040653,Lower East Side,Manhattan,40.71785,-73.99019,Private room,2,150,67,4.94
5040919,Downtown Brooklyn,Brooklyn,40.69745,-73.98367,Private room,1,200,0,0.00
5040951,Gramercy,Manhattan,40.73351,-73.98748,Entire home/apt,2,125,24,4.92
5049823,Midtown,Manhattan,40.7655,-73.98018,Private room,4,500,1,0.00
5050156,East Village,Manhattan,40.73333,-73.9905,Private room,4,115,22,5.00
5050369,East Village,Manhattan,40.72536,-73.9856,Entire home/apt,2,250,0,0.00
5050799,Crown Heights,Brooklyn,40.67741,-73.96326,Entire home/apt,2,91,22,4.59
5051236,Williamsburg,Brooklyn,40.71699,-73.96299,Private room,2,89,16,4.85
5052495,Williamsburg,Brooklyn,40.70918,-73.96413,Private room,2,44,53,4.96
5055033,Greenpoint,Brooklyn,40.72244,-73.94561,Entire home/apt,2,90,0,0.00
5058359,Washington Heights,Manhattan,40.85191,-73.93924,Private room,1,47,9,4.60
5059082,Williamsburg,Brooklyn,40.71013,-73.96354,Private room,2,99,0,0.00
5059402,Williamsburg,Brooklyn,40.71559,-73.95701,Private room,2,90,0,0.00
5060118,Canarsie,Brooklyn,40.63841,-73.91589,Private room,2,45,45,4.50
5065185,Upper West Side,Manhattan,40.79495,-73.97237,Entire home/apt,2,165,89,4.95
5065630,Bedford-Stuyvesant,Brooklyn,40.68487,-73.95695,Entire home/apt,2,83,0,0.00
5066526,Bedford-Stuyvesant,Brooklyn,40.69494,-73.95507,Private room,2,70,0,0.00
5066963,Bushwick,Brooklyn,40.69549,-73.90979,Private room,2,50,0,0.00
5068972,Financial District,Manhattan,40.71095,-74.00694,Entire home/apt,2,150,7,4.71
5077231,Upper East Side,Manhattan,40.77514,-73.95057,Entire home/apt,2,150,0,0.00
5078828,Flatbush,Brooklyn,40.63811,-73.96016,Entire home/apt,11,415,3,4.33
5079124,Kensington,Brooklyn,40.63957,-73.97163,Private room,1,50,45,4.64
5082455,Harlem,Manhattan,40.82921,-73.94481,Entire home/apt,4,150,30,4.33
5083907,Clinton Hill,Brooklyn,40.69079,-73.96756,Private room,2,55,0,0.00
5084095,Upper East Side,Manhattan,40.77483,-73.95237,Entire home/apt,4,250,0,0.00
5085803,Upper East Side,Manhattan,40.78248,-73.94643,Entire home/apt,3,99,20,4.85
5093352,Harlem,Manhattan,40.80945,-73.94095,Private room,2,50,21,4.90
5094593,Bay Terrace,Queens,40.78797,-73.7804,Private room,1,99,5,4.60
5100436,Flatbush,Brooklyn,40.65075,-73.96484,Private room,2,136,3,5.00
5102132,Bushwick,Brooklyn,40.70228,-73.9129,Private room,2,45,1,5.00
5105514,Williamsburg,Brooklyn,40.71792,-73.95211,Entire home/apt,2,120,1,5.00
5105632,Prospect Heights,Brooklyn,40.67467,-73.96557,Private room,1,60,0,0.00
5106041,Flatbush,Brooklyn,40.64802,-73.95608,Entire home/apt,3,45,66,4.24
5106749,Long Island City,Queens,40.76024,-73.92986,Entire home/apt,2,110,48,4.89
5110541,Upper East Side,Manhattan,40.76918,-73.95738,Entire home/apt,2,245,3,5.00
5115534,Williamsburg,Brooklyn,40.70767,-73.94818,Entire home/apt,4,195,3,4.67
5116727,East Village,Manhattan,40.72849,-73.98835,Entire home/apt,1,137,7,5.00
5117177,Greenpoint,Brooklyn,40.72376,-73.94957,Entire home/apt,3,185,45,4.78
5121827,Forest Hills,Queens,40.71268697,-73.85364642,Entire home/apt,6,125,2,5.00
5123033,Midtown,Manhattan,40.75647,-73.96901,Entire home/apt,4,180,1,5.00
5125051,Bedford-Stuyvesant,Brooklyn,40.69674,-73.93703,Entire home/apt,2,70,120,4.50
5131879,Williamsburg,Brooklyn,40.71284,-73.94679,Entire home/apt,5,1763,0,0.00
5135121,Prospect-Lefferts Gardens,Brooklyn,40.65729,-73.95782,Entire home/apt,2,65,3,4.50
5136673,Bedford-Stuyvesant,Brooklyn,40.68701,-73.9202,Private room,2,40,0,0.00
5136833,Upper West Side,Manhattan,40.79601,-73.96503,Private room,2,79,8,4.71
5137531,Harlem,Manhattan,40.80618,-73.95482,Entire home/apt,4,140,5,0.00
5141379,West Village,Manhattan,40.73437,-73.99904,Entire home/apt,2,198,15,5.00
5143959,Prospect-Lefferts Gardens,Brooklyn,40.65811,-73.95146,Private room,3,65,0,0.00
5144689,East Harlem,Manhattan,40.80581,-73.94234,Entire home/apt,4,139,225,4.63
5146173,West Village,Manhattan,40.73292,-74.00621,Entire home/apt,3,751,12,4.92
5148878,Williamsburg,Brooklyn,40.71081,-73.96373,Entire home/apt,4,125,5,4.60
5150206,Harlem,Manhattan,40.82837,-73.94757,Private room,2,45,30,4.69
